date,symbol,side,entry,stop_hit,stop_width%,atr%,recommended_stop%,relaxed_stop,would_hold_relaxed,recovered_5min,recovered_30min,potential_profit
2025-10-07,CLOV,LONG,2.7477449999999997,2.7345200000000003,0.48130375999226194,7.45,2.5,2.679051375,True,True,True,0.06225500000000039
2025-10-07,C,SHORT,96.59331,97.0938,0.5181414737728722,2.38,1.2,97.75242972000001,True,False,False,0.0
2025-10-07,C,SHORT,96.75314999999999,97.06374000000001,0.3210128042343004,2.38,1.2,97.9141878,True,False,False,0.0
2025-10-07,SNAP,SHORT,8.35164,8.39676,0.5402531718321277,6.43,2.5,8.560431,True,True,True,0.16164000000000023
2025-10-08,COIN,LONG,389.1687799999999,387.224,0.4997266224695423,4.73,1.8,382.1637419599999,True,True,True,0.4812200000000644
2025-10-08,COIN,LONG,388.41802999999993,387.14416,0.3279636632727712,4.73,1.8,381.42650545999993,True,True,True,1.2319700000000466
2025-10-08,TSLA,SHORT,430.40916,433.39506,0.6937352355605106,5.11,1.8,438.15652488,True,False,True,0.08915999999999258
2025-10-08,TSLA,SHORT,431.98758000000004,433.34496,0.3142173670826318,5.11,1.8,439.76335644000005,True,True,True,1.6675800000000436
2025-10-08,HOOD,LONG,147.60746,146.74591999999998,0.5836696871553912,4.55,1.8,144.95052572,True,False,True,0.35254000000000474
2025-10-08,HOOD,LONG,147.28713999999997,146.79582,0.33357970016932464,4.55,1.8,144.63597147999997,True,True,True,0.6728600000000426
2025-10-08,RIVN,SHORT,13.19679,13.26648,0.5280829656302751,6.45,2.5,13.526709749999998,True,False,True,0.016790000000000305
2025-10-08,RIVN,SHORT,13.19679,13.25646,0.4521554105202898,6.45,2.5,13.526709749999998,True,False,True,0.016790000000000305
2025-10-09,COIN,LONG,391.77137999999997,389.14016000000004,0.6716212909681989,4.3,1.8,384.71949515999995,True,True,True,0.3886200000000599
2025-10-09,AVGO,LONG,347.60725999999994,346.38584,0.351379312388345,3.39,1.2,343.43597287999995,True,False,False,0.0
2025-10-09,AVGO,LONG,347.50716,346.4058,0.3169315993374064,3.39,1.2,343.33707408,True,False,False,0.0
